吖|ā yā
阿|ā ɑ ē
啊|ɑ á à ǎ ā
锕|ā
錒|ā
嗄|á shà
厑|ɑ e si
哎|ái ài ǎi āi
哀|āi
唉|ài āi
埃|āi
挨|ái āi
欸|ǎi āi
溾|āi
锿|āi
鎄|āi
啀|ái
捱|ái
皑|ái
凒|ái
嵦|ái kǎi
溰|ái
嘊|ái
敱|ái zhú
敳|ái zhú
皚|ái
癌|ái
毐|ǎi
昹|ǎi
娾|ái ǎi è
嗳|ài ǎi āi
矮|ǎi
蔼|ǎi
躷|ǎi
噯|ài ǎi āi
濭|ǎi kài kè
藹|ǎi
譪|ǎi
霭|ǎi
靄|ǎi
艾|ài yì
伌|ài
爱|ài
砹|ài
硋|ài
隘|ài
嗌|ài yì
塧|ài
嫒|ài
愛|ài
碍|ài
叆|ài yǐ
暧|ài
瑷|ài
僾|ài
壒|ài
嬡|ài
懓|ài
薆|ài
懝|ài nǐ yì
曖|ài
璦|ài
賹|ài
餲|ài hé
鴱|ài
皧|ài
瞹|ài
馤|ài
礙|ài
譺|ài
鑀|ài
鱫|ài
靉|ài
安|ān
侒|ān
峖|ān
桉|ān
氨|ān
庵|ān
菴|ān
谙|ān
媕|ān
萻|ān
葊|ān
痷|ān è yè
腤|ān
鹌|ān
蓭|ān
誝|ān
鞌|ān
鞍|ān
盦|ān
諳|ān
闇|àn
馣|ān
鮟|ān
盫|ān
鵪|ān
韽|ān
鶕|ān
玵|án ɡān
啽|án ān
雸|án
垵|ǎn
俺|ǎn
唵|ǎn
埯|ǎn
铵|ǎn
隌|àn
揞|ǎn
晻|àn ǎn yǎn
罯|ǎn
銨|ǎn
犴|àn hān
岸|àn
按|àn
洝|àn è yàn
荌|àn
案|àn
胺|àn
豻|àn
堓|àn
婩|àn nüè
暗|àn
貋|àn
儑|án àn
錌|àn
黯|àn
肮|ānɡ hánɡ
骯|ānɡ
岇|ánɡ
昂|ánɡ
昻|ánɡ
枊|ànɡ
盎|ànɡ
醠|ànɡ
凹|āo wā
坳|ào
垇|ào
柪|ào āo
軪|ào āo
爊|āo
敖|áo
厫|áo
隞|áo
嗷|áo
嗸|áo
嶅|áo ào
廒|áo
滶|áo
獒|áo
獓|áo
遨|áo
摮|áo qiáo
熬|áo āo
璈|áo
蔜|áo
磝|áo qiāo
翱|áo
聱|áo
螯|áo
翶|áo
謷|áo
翺|áo
鳌|áo
鏖|áo
鰲|áo
鷔|áo
鼇|áo
抝|ào ǎo niù
芺|ǎo
拗|ào ǎo niù
袄|ǎo
媪|ǎo wò yùn
镺|ǎo
媼|ǎo wò yùn
襖|ǎo
岙|ào
扷|ào bā
岰|ào
傲|ào
奡|ào
奥|ào yù
嫯|ào
慠|áo ào
骜|áo
奧|ào yù
澚|ào
墺|ào
嶴|ào
澳|ào
懊|ào
擙|ào
謸|áo
鏊|ào
驁|ào
八|bā
仈|bā
巴|bā
叭|bɑ bā
扒|bā pá
朳|bā
玐|bā
吧|bɑ bā
夿|bā
岜|bā
芭|bā
疤|bā
哵|bā
捌|bā
笆|bā
粑|bā
紦|hā
羓|bā
蚆|bā
釟|bā
豝|bā
鲃|bà bā
魞|bā
叐|bá
犮|bá quǎn
抜|bá
坺|fá
妭|bá
拔|bá
茇|bá
炦|bá
癹|bá
胈|bá
釛|hé
菝|bá
詙|bá
跋|bá
軷|bá
颰|bá fú
魃|bá
墢|fá
鼥|bá
把|bǎ bà
钯|bǎ pá
鈀|bǎ
靶|bà bǎ
坝|bà
弝|bà
爸|bà
垻|bà
罢|bɑ bà pí
跁|bà páo
鲅|bà
罷|bɑ bà pí
鮁|bà
覇|bà pò
矲|bà
霸|bà
壩|bà
灞|bà
欛|bà
挀|bāi
掰|bāi
白|bái
百|bǎi
佰|bǎi
柏|bǎi bó bò
栢|bǎi
捭|bǎi
竡|bǎi
粨|bǎi
絔|bǎi mò
摆|bǎi
擺|bǎi
襬|bǎi
呗|bài bei
庍|bài tīnɡ
拝|bài
败|bài
拜|bài
唄|bài bei
敗|bài
猈|bài pí
稗|bài
粺|bài
鞁|bèi
薭|bài
贁|bài
韛|bài
兡|bBike
瓸|bɑiwɑ
扳|bān pān
攽|bān
朌|bān fén
班|bān
般|bān bō pán
颁|bān
斑|bān
搬|bān
斒|bān
頒|bān
瘢|bān
螁|bān
螌|bān
褩|bān
癍|bān
辬|bān
阪|bǎn
坂|bǎn
岅|bǎn
昄|bǎn
板|bǎn
版|bǎn
瓪|bǎn
钣|bǎn
粄|bǎn
舨|bǎn
鈑|bǎn
蝂|bǎn
魬|bǎn
闆|bǎn pàn
办|bàn
半|bàn
伴|bàn
扮|bàn
姅|bàn
怑|bàn
拌|bàn pàn
绊|bàn
秚|bàn
湴|bàn pán
絆|bàn
鉡|bàn
靽|bàn
辦|bàn
瓣|bàn
邦|bānɡ
峀|xiù
垹|bānɡ
帮|bānɡ
捠|bānɡ
梆|bānɡ
浜|bānɡ
邫|bānɡ
幇|bānɡ
幚|bānɡ
縍|bànɡ bānɡ
幫|bānɡ
鞤|bānɡ
绑|bǎnɡ
綁|bǎnɡ
榜|bànɡ bǎnɡ
牓|bǎnɡ
膀|bànɡ bǎnɡ pánɡ pānɡ
玤|bànɡ
蚌|bànɡ bènɡ
傍|bànɡ
棒|bànɡ
棓|bànɡ bèi bēi pǒu
硥|bànɡ mǎnɡ
谤|bànɡ
塝|bànɡ
徬|pánɡ
稖|bànɡ
蒡|bànɡ
蜯|bànɡ
磅|bànɡ pánɡ
镑|bànɡ
艕|bànɡ
謗|bànɡ
鎊|bànɡ
勹|bāo
包|bāo
佨|bBo
孢|bāo
苞|bāo
胞|bāo
剝|bāo bō
笣|bāo
煲|bāo
龅|bāo
蕔|bāo
褒|bǎo
闁|bāo
襃|bāo
齙|bāo
窇|báo
嫑|biáo
雹|báo
宝|bǎo
怉|bào bǎo
饱|bǎo
保|bǎo
鸨|bǎo
珤|bǎo
堡|bǎo bǔ pù
堢|bǎo
媬|bǎo
葆|bǎo
寚|bǎo
飹|bǎo
飽|bǎo
褓|bǎo
駂|bǎo
鳵|bǎo
緥|bǎo
鴇|bǎo
賲|bǎo
藵|bǎo
寳|bǎo
寶|bǎo
靌|bǎo
勽|bào
报|bào
抱|bào
豹|bào
趵|bào bō
铇|bào
菢|bào
袌|bào páo pào
報|bào
鉋|bào
鲍|bào
靤|pào
骲|bào
暴|bào pù
髱|bào
虣|bào
鮑|bào
儤|bào
曓|bào
爆|bào
忁|bào
鑤|bào
萡|bó
陂|bēi pí pō
卑|bēi
杯|bēi
盃|bēi
桮|bēi
悲|bēi
揹|bēi
碑|bēi
鹎|bēi
藣|bēi
鵯|bēi
喺|xí
北|běi bèi
鉳|běi
贝|bèi
狈|bèi
貝|bèi
邶|bèi
备|bèi
昁|bèi
牬|bèi
苝|bèi
背|bèi bēi
钡|bèi
俻|bèi
倍|bèi
悖|bèi
狽|bèi
被|bèi pī
偝|bèi
偹|bèi
梖|bèi
珼|bèi
鄁|bèi
備|bèi
僃|bèi
惫|bèi
焙|bèi
琲|bèi
軰|bèi
辈|bèi
愂|bèi
碚|bèi
禙|bèi
蓓|bèi
蛽|bèi
犕|bèi
褙|bèi
誖|bèi bó
骳|bèi mó
輩|bèi
鋇|bèi
憊|bèi
糒|bèi
鞴|bèi
鐾|bèi
奔|bèn bēn
泍|bèn bēn
贲|bēn bì
倴|bèn
渀|bèn
逩|bèn
犇|bēn
賁|bēn bì
锛|bēn
錛|bēn
本|běn
苯|běn
奙|běn
畚|běn
楍|běn
坌|bèn
捹|bèn
桳|bèn fàn
笨|bèn
撪|bèn
獖|fén fèn
輽|fàn
伻|pēnɡ
祊|bēnɡ fānɡ
奟|bēnɡ
崩|bēnɡ
绷|bènɡ běnɡ bēnɡ
絣|bēnɡ bīnɡ pēnɡ
閍|bēnɡ
嵭|bēnɡ
痭|bēnɡ pénɡ
嘣|bēnɡ
綳|bènɡ běnɡ bēnɡ
繃|bènɡ běnɡ bēnɡ
甭|bénɡ
埄|běnɡ fēnɡ
埲|běnɡ
菶|běnɡ
琣|běnɡ pěi
琫|běnɡ
鞛|běnɡ
泵|bènɡ
迸|bènɡ
逬|bènɡ
跰|bènɡ pián
塴|bènɡ
甏|bènɡ
镚|bènɡ
蹦|bènɡ
鏰|bènɡ
皀|bī jí
屄|bī
偪|bī
毴|bī
逼|bī
豍|bī
螕|bī pí
鲾|bī
鎞|bì bī pī
鵖|bī
鰏|bī
柲|bì bié
荸|bí
鼻|bí
嬶|bí
匕|bǐ
比|bǐ
夶|bǐ
朼|bǐ
佊|bǐ
吡|bǐ pǐ
妣|bǐ
沘|bǐ
疕|bǐ
彼|bǐ
柀|bǐ
秕|bǐ
俾|bǐ
笔|bǐ
粃|bǐ
粊|bì
舭|bǐ
啚|bǐ tú
筆|bǐ
鄙|bǐ
聛|bǐ
貏|bǐ
匂|xiōnɡ
币|bì
必|bì
毕|bì
闭|bì
佖|bì
坒|bì
庇|bì
诐|bì
邲|bì
妼|bì
怭|bì
枈|mì pī
畀|bì
畁|bì qí
苾|bì
哔|bì
毖|bì
珌|bì
疪|bì
胇|bì fèi
荜|bì
陛|bì
毙|bì
狴|bì
畢|bì
袐|bì
铋|bì
婢|bì
庳|bēi
敝|bì
梐|bì
萆|bì
萞|bì
閇|bì
閉|bì
堛|bì
弻|bì
弼|bì
愊|bì
愎|bì
湢|bì
皕|bì
禆|bì pí
筚|bì
詖|bì
貱|bì
赑|bì
嗶|bì
彃|bì
楅|bī
滗|bì
滭|bì
煏|bì
痹|bì
痺|bì
腷|bì
蓖|bì
蓽|bì
蜌|bì
裨|bì pí
跸|bì
辟|bì pì
鉍|bì
閟|bì
飶|bì
幣|bì
弊|bì
熚|bì
獙|bì
碧|bì
稫|bì pì
箅|bì
箆|bì
綼|bì
蔽|bì
鄪|bì
馝|bì
幤|bì
潷|bì
獘|bì
罼|bì
襅|bì
駜|bì
髲|bì pǒ
壁|bì
嬖|bì
廦|bì
篦|bì
篳|bì
縪|bì
薜|bì
觱|bì
避|bì
鮅|bì
斃|bì
濞|bì pì
臂|bei bì
蹕|bì
鞞|bēi bì bǐnɡ pí
髀|bì
奰|bì
璧|bì
鄨|bì
饆|bì
繴|bì
襞|bì
襣|bì
鏎|bì
鞸|bì bǐnɡ
韠|bì
躃|bì
躄|bì
魓|bì
贔|bì
鐴|bì
驆|bì
鷝|bì
鷩|bì
鼊|bì
边|biān
砭|biān
笾|biān
猵|biān piàn
编|biān
萹|biān
煸|biān
牑|biān miàn
甂|biān
箯|biān
編|biān
蝙|biān
獱|biān piàn
邉|biān
鍽|biān
鳊|biān
邊|biān
鞭|biān
鯾|biān
鯿|biān
籩|biān
炞|biān
贬|biǎn
扁|biǎn piān
窆|biǎn
匾|biǎn
貶|biǎn
惼|biǎn
碥|biǎn
稨|biǎn
褊|biǎn
糄|biǎn biān
鴘|biǎn
藊|biǎn
卞|biàn
弁|biàn
忭|biàn
抃|biàn
汳|biàn
汴|biàn
苄|biàn
釆|biàn
峅|biàn pīn
拚|fān pàn pīn
便|biàn pián
变|biàn
変|biàn
昪|biàn
覍|biàn
徧|biàn
揙|biǎn
缏|biàn pián
遍|biàn
閞|biàn ɡuān
辡|biàn
緶|biàn pián
艑|biàn
頨|yǔ
辧|biàn
辨|biàn
辩|biàn
辪|xuē
辫|biàn
辮|biàn
辯|biàn
變|biàn
灬|biāo huǒ
杓|biāo sháo
彪|biāo
标|biāo
飑|biāo
骉|biāo
髟|biāo
淲|biāo hǔ
猋|biāo
脿|biāo
墂|biāo
幖|biāo
滮|biāo
蔈|biāo
颮|biāo
骠|biāo piào
標|biāo
熛|biāo
膘|biāo
麃|biāo páo
瘭|biāo
镖|biāo
飙|biāo
飚|biāo
儦|biāo
颷|biāo
瀌|biāo
藨|biāo pāo
謤|biāo
爂|biāo
臕|biāo
贆|biāo
鏢|biāo
穮|biāo pāo
镳|biāo
飆|biāo
飇|biāo
飈|biāo
飊|biāo
驃|piào
鑣|biāo
驫|biāo
表|biǎo
婊|biǎo
裱|biǎo
諘|biǎo
褾|biǎo
錶|biǎo
檦|biǎo biāo
俵|biào
摽|biào biāo
鳔|biào
鰾|piào
憋|biē
鳖|biē
鱉|biē
鼈|biē
虌|biē
龞|biē
別|bié biè
别|bié biè
咇|bì
莂|bié
蛂|bié
徶|bié
襒|bié
蟞|bié biē
蹩|bié
瘪|biě biē
癟|biě biē
彆|biè
汃|bīn pà pā
邠|bīn
砏|bīn fēn pīn
宾|bīn
彬|bīn
傧|bīn
斌|bīn
椕|bīn
滨|bīn
缤|bīn
槟|bīn bīnɡ
瑸|bīn pián
豩|bīn
賓|bīn
賔|bīn
镔|bīn
儐|bīn
濒|bīn
濱|bīn
濵|bīn
虨|bīn
豳|bīn
璸|bīn pián
瀕|bīn
霦|bīn
繽|bīn
蠙|pín
鑌|bīn
顮|bīn
氞|nèi
摈|bìn
殡|bìn
膑|bìn
髩|bìn
擯|bìn
鬂|bìn
殯|bìn
臏|bìn
髌|bìn
鬓|bìn
髕|bìn
鬢|bìn
冫|bīnɡ
仌|bīnɡ
氷|bīnɡ
冰|bīnɡ
兵|bīnɡ
栟|bēn bīnɡ
掤|bīnɡ
梹|bīn bīnɡ
鋲|bīnɡ bīnɡ
檳|bīn bīnɡ
丙|bǐnɡ
邴|bǐnɡ
陃|bǐnɡ
怲|bǐnɡ
抦|bǐnɡ
秉|bǐnɡ
苪|bǐnɡ
昞|bǐnɡ
昺|bǐnɡ
柄|bǐnɡ
炳|bǐnɡ
饼|bǐnɡ
眪|bǐnɡ fǎnɡ
窉|bìnɡ
蛃|bīnɡ
棅|bǐnɡ
禀|bǐnɡ
鈵|bǐnɡ
鉼|bǐnɡ
鞆|binɡ
餅|bǐnɡ
餠|bǐnɡ
燷|lán
并|bìnɡ bīnɡ
並|bìnɡ
併|bìnɡ
幷|bìnɡ bīnɡ
垪|binɡ
庰|bìnɡ pínɡ
倂|bìnɡ
栤|bìnɡ
病|bìnɡ
竝|bìnɡ
偋|bìnɡ bǐnɡ
傡|bìnɡ
寎|bìnɡ bǐnɡ
摒|bìnɡ
誁|bìnɡ
鮩|bìnɡ
靐|bìnɡ
癶|bō
拨|bō
波|bō
癷|uu
玻|bō
剥|bāo bō
盋|bō
砵|bō
袚|fú
袯|bó
钵|bō
饽|bō
啵|bo
紴|bì bō
缽|bō
脖|bó
菠|bō
袰|uu
碆|bō
鉢|bō
僠|bō
嶓|bō
撥|bō
播|bō
餑|bō
磻|bō pán
蹳|bō
驋|bō
鱍|bō
仢|bó
伯|bó bǎi
孛|bèi
犻|fèi pèi
驳|bó
帛|bó
泊|bó pō
狛|bó
瓝|bó
苩|bó pā
侼|bó
勃|bèi bó
柭|bā biē bó fú pèi
胉|bó
郣|bó
亳|bó
挬|bó
浡|bó
瓟|bó páo
秡|bó
钹|bó
铂|bó
桲|bó
淿|bó
舶|bó
博|bó
渤|bó
湐|pò
葧|bó
鹁|bó
愽|bó
搏|bó
猼|bó pò
鈸|bó
鉑|bó
馎|bó
鲌|bà bó
僰|bó
煿|bó
牔|bó
箔|bó
膊|bó
艊|bó
馛|bó
駁|bó
踣|bó
鋍|bó
镈|bó
壆|bó jué xué
薄|báo bó bò
馞|bó
駮|bó
鮊|bà bó
襏|bó
豰|hù
嚗|bào bó pào
懪|bó
礡|bō
簙|bó
鎛|bó
餺|bó
鵓|bó
犦|bào
髆|bó
髉|bó jué
欂|bó
襮|bó
礴|bó
鑮|bó
蚾|bǒ pí
跛|bǒ
箥|pǒ
簸|bò bǒ
孹|bò
擘|bāi bò
檗|bò
糪|bó
譒|bò
蘗|bò
蔔|bo
峬|bū
庯|bū
逋|bū
钸|bū
晡|bū
鈽|bū
誧|bū
餔|bū
轐|bú
醭|bú
卜|bo bǔ
卟|bǔ
补|bǔ
哺|bǔ
捕|bǔ
補|bǔ
鳪|bú
獛|pú
鵏|bū
鸔|bǔ
不|bù bú fǒu
布|bù
佈|bù
吥|bù
步|bù
咘|bù
怖|bù
歨|bù
歩|bù
钚|bù
勏|bù
埗|bù
悑|bù
捗|bù pú zhì
荹|bù
部|bù
埠|bù
瓿|bù
鈈|bù
廍|bù
蔀|bù
踄|bù
郶|bù
篰|bù
餢|bù
簿|bó bù
嚓|cā chā
擦|cā
攃|cā sǎ
礤|cǎ
礸|cǎ
遪|cà
囃|cà zá
偲|cāi sī
猜|cāi
才|cái
材|cái
财|cái
財|cái
戝|zéi
裁|cái
纔|cái
采|cǎi cài
倸|cǎi
埰|cài cǎi
婇|cǎi
寀|cài cǎi
彩|cǎi
採|cǎi
睬|cǎi
跴|cǎi
綵|cǎi
踩|cǎi
菜|cài
棌|cǎi
蔡|cài
縩|cài
乲|cB lo
参|cān cēn sān shēn
參|cān cēn sān shēn
叄|cān cēn sān shēn
飡|cān
骖|cān
叅|cān cēn sān shēn
喰|cān qī sūn
湌|cān
傪|càn cān
嬠|cān
餐|cān
驂|cān
残|cán
蚕|cán
惭|cán
殘|cán
慚|cán
蝅|cán
慙|cán
蠶|cán
蠺|cán
惨|cǎn
朁|cǎn jiàn qián
慘|cǎn
噆|zǎn
憯|cǎn
穇|cǎn cēn shān
黪|cǎn
黲|cǎn
灿|càn
粲|càn
儏|cBn
澯|càn
薒|càn
燦|càn
璨|càn
謲|càn
爘|càn
仓|cānɡ
仺|cānɡ
伧|cānɡ chen
沧|cānɡ
苍|cānɡ
鸧|cānɡ
