吧嗒|bā dā//bā dɑ
霸道|bà dào//bà dɑo
摆设|bǎi shè//bǎi she
帮手|bānɡ shǒu//bānɡ shou
褒贬|bāo biǎn//bāo biɑn
本事|běn shì//běn shi
别人|bié rén//bié ren
裁缝|cái fénɡ//cái fenɡ
差使|chāi shǐ//chāi shi
抽打|chōu dǎ//chōu dɑ
打手|dǎ shǒu//dǎ shou
大方|dà fānɡ//dà fɑnɡ
大人|dà rén//dà ren
大师傅|dà shi fu//dà shī fu
大爷|dà yé//dà ye
大意|dà yì//dà yi
德行|dé xínɡ//dé xinɡ
滴答|dī dā//dī dɑ
地道|dì dào//dì dɑo
地方|dì fānɡ//dì fɑnɡ
地下|dì xià//dì xiɑ
东西|dōnɡ xī//dōnɡ xi
端详|duān xiánɡ//duān xiɑnɡ
对头|duì tóu//duì tou
多少|duō shǎo//duō shɑo
发送|fā sònɡ//fā sonɡ
反正|fǎn zhènɡ//fǎn zhenɡ
方丈|fānɡ zhànɡ//fānɡ zhɑnɡ
废物|fèi wù//fèi wu
嘎巴|ɡā bā//ɡā bɑ
告诉|ɡào sù//ɡào su
隔断|ɡé duàn//ɡé duɑn
跟前|ɡēn qián//ɡēn qiɑn
公道|ɡōnɡ dào//ɡōnɡ dɑo
故事|ɡù shì//ɡù shi
呱嗒|ɡuā dā//quā dɑ
乖乖|ɡuāi ɡuāi//ɡuāi ɡuɑi
灌肠|ɡuàn chánɡ//ɡuàn chɑnɡ
过年|ɡuò nián//ɡuò niɑn
过去|ɡuò qù//ɡuò qu
合计|hé jì//hé ji
呼噜|hū lū//hū lu
花费|huā fèi//huā fei
滑溜|huá liū//huá liu
惊醒|jīnɡ xǐnɡ//jīnɡ xinɡ
精神|jīnɡ shén//jīnɡ shen
开通|kāi tōnɡ//kāi tonɡ
口音|kǒu yīn//kǒu yin
苦头|kú tóu//kǔ tou
来往|lái wǎnɡ//lái wɑnɡ
劳动|láo dònɡ//láo donɡ
冷战|lěnɡ zhàn//lěnɡ zhɑn
利害|li hài//lì hɑi
粒子|lì zǐ//lì zi
买卖|mǎi mài//mǎi mɑi
忙活|mánɡ huó//mánɡ huo
眉目|méi mù//méi mu
门道|mén dào//mén dɑo
男人|nán rén//nán ren
难处|nán chǔ//nán chu
女人|nǚ rén//nǚ ren
配合|pèi hé//pèi he
扑打|pū dǎ//pū dɑ
铺盖|pū ɡài//pū ɡɑi
扑腾|pū tēnɡ//pū tenɡ
起火|qǐ huǒ//qǐ huo
妻子|qī zǐ//qī zi
千斤|qiān jīn//qiān jin
枪手|qiānɡ shǒu//qiānɡ shou
人家|rén jiā//rén jiɑ
仁义|rén yì//rén yi
肉食|ròu shí//ròu shi
丧气|sànɡ qì//sànɡ qi
上头|shànɡ tóu//shànɡ tou
烧锅|shāo ɡuō//shāo ɡuo
生意|shēnɡ yì//shēnɡ yi
实在|shí zài//shí zɑi
世故|shì ɡù//shì ɡu
受用|shòu yònɡ//shòu yonɡ
说道|shuō dào//shuō dɑo
说法|shuō fǎ//shuō fɑ
斯文|sī wén//sí wen
松散|sōnɡ sǎn//sōnɡ sɑn
特务|tè wù//tè wu
透亮|tòu liànɡ//tòu liɑnɡ
土地|tǔ dì//tǔ di
外道|wài dào//wài dɑo
外面|wài miàn//wài miɑn
文气|wén qì//wén qi
下场|xià chǎnɡ//xià chɑnɡ
下水|xià shuǐ//xià shui
下子|xià zǐ//xià zi
想法|xiǎnɡ fǎ//xiǎnq fɑ
小子|xiǎo zǐ//xiǎo zi
邪行|xié xínɡ//xié xinɡ
刑法|xínɡ fǎ//xínɡ fɑ
星星|xīnɡ xīnɡ//xīnɡ xinɡ
兄弟|xiōnɡ dì//xiōnɡ di
学生|xué shēnɡ//xué shenɡ
小学生|xiǎo xué shēnɡ//xiǎo xué shenɡ
大学生|dà xué shēnɡ//dà xué shenɡ
烟火|yān huǒ//yān huo
颜色|yán sè//yán shɑi
言语|yán yǔ//yám yu
营生|yínɡ shēnɡ//yínɡ shenɡ
运动|yùn dònɡ//yùn donɡ
运气|yùn qì//yùn qi
用人|yònɡ rén//yònɡ ren
游子|yóu zǐ//yóu zi
造化|zào huà//zào huɑ
造作|zào zuò//zào zuo
丈夫|zhànɡ fū//zhànɡ fu
丈人|zhànɡ rén//zhànq ren
照应|zhào yìnɡ//zhào yinɡ
针眼|zhēn yǎn//zhēn yɑn
正经|zhènɡ jīnɡ//zhènɡ jinɡ
中堂|zhōnɡ tánɡ//zhōnɡ tɑnɡ
自然|zì rán//zì rɑn
自在|zì zài//zì zɑi
